noun;cardinality;type;id
corps;7;rel-uniq;1000-PASSION-BFM-P,115.251
enfern;7;uniq;1000-PASSION-BFM-P,117.275
di;6;uniq;1000-PASSION-BFM-P,120.308
Judeus;5;;1000-PASSION-BFM-P,100.50
fellon;4;ind;1000-PASSION-BFM-P,107.128
fellun;4;ind;1000-PASSION-BFM-P,110.177
cruz;4;ind;1000-PASSION-BFM-P,112.210
di;4;uniq;1000-PASSION-BFM-P,113.222
nona;4;;1000-PASSION-BFM-P,114.227
honor;4;;1000-PASSION-BFM-P,115.252
pechet;4;;1000-PASSION-BFM-P,118.279
enfern;4;uniq;1000-PASSION-BFM-P,118.282
Judeu;3;;1000-PASSION-BFM-P,101.54
bons;3;mass;1000-PASSION-BFM-P,104.101
serv;3;;1000-PASSION-BFM-P,105.112
escarn;3;abs;1000-PASSION-BFM-P,112.212
mercit;3;;1000-PASSION-BFM-P,113.223
carn;3;mass;1000-PASSION-BFM-P,115.245
monument;3;;1000-PASSION-BFM-P,118.286
fidel;3;;1000-PASSION-BFM-P,120.314
dis;2;event;not found
pan;2;;1000-PASSION-BFM-P,102.65
vin;2;;1000-PASSION-BFM-P,102.65
sopa;2;;1000-PASSION-BFM-P,102.66
sudor;2;;not found
aurelia;2;na;1000-PASSION-BFM-P,105.113
om;2;;1000-PASSION-BFM-P,118.279
peison;2;;1000-PASSION-BFM-P,121.329
asne;1;ind;1000-PASSION-BFM-P,97.17
mantelz;1;;1000-PASSION-BFM-P,97.18
dis;1;event;1000-PASSION-BFM-P,97.20
gran;1;;1000-PASSION-BFM-P,98.26
petit;1;;1000-PASSION-BFM-P,98.26
Judeus;1;;1000-PASSION-BFM-P,104.90
obs;1;;1000-PASSION-BFM-P,111.195
sanz;1;;1000-PASSION-BFM-P,114.238
carn;1;mass;1000-PASSION-BFM-P,115.244
pavor;1;;not found
raizun;0;;
affanz;0;ind;
Peccad;0;;
nostres;0;;
vida;0;;
ciutat;0;ind;
sos;0;;
asnez;0;ind;
mantelz;0;;
vestit;0;;
assis;0;event;
humilitad;0;;
prophetes;0;;
moniment;0;;
reis;0;;
morz;0;;
palmes;0;;
rames;0;;
olivers;0;;
branches;0;ind;
poples;0;;
Palis;0;;
vestit;0;;
palis;0;;
mantenls;0;;
pez;0;;
folcs;0;;
petit;0;;
ciptad;0;ind;
pechet;0;;
orgolz;0;;
inimic;0;;
enfanz;0;ind;
penas;0;;
murs;0;;
maisons;0;;
pedra;0;;
caitiu;0;ind;
genz;0;;
tormenz;0;;
marchedant;0;;
destreit;0;ind;
talant;0;;
pavors;0;;
corda;0;ind;
marched;0;;
cors;0;rel-uniq;
envie;0;abs;
conselz;0;ind;
tradissant;0;;
rebost;0;;
talenz;0;;
deners;0;ind;
merz;0;;
hom;0;;
cena;0;ind;
fedels;0;ind;
saccrament;0;;
pan;0;;
sopa;0;;
gola;0;;
manjer;0;;
peiz;0;;
sopar;0;;
sermon;0;;
tal;0;;
marrimenz;0;;
sags;0;;
sudor;0;;
gutes;0;;
compannie;0;ind;
Judeus;0;;
ez;0;ind;
felun;0;ind;
aproismad;0;?;
fei;0;abs;
menton;0;;
tradetur;0;;
baisair;0;uniq;
Amicx;0;ind;
baisol;0;ind;
cobetad;0;?;
Armand;0;na;
part;0;;
anels;0;ind;
fer;0;;
aurelia;0;na;
serv;0;;
ladron;0;;
fedel;0;ind;
fin;0;;
felon;0;ind;
ested;0;rel-uniq;
pontifex;0;;
fied;0;;
fils;0;;
forsfait;0;;
ols;0;;
prophete;0;;
estras;0;ind;
useire;0;;
raison;0;;
fil;0;;
jalz;0;;
vez;0;;
matins;0;;
vertuz;0;;
vises;0;;
respondre;0;;
Vida;0;;
forsfaiz;0;;
fellunt;0;ind;
voz;0;;
amics;0;ind;
Judeu;0;;
pechez;0;;
raisons;0;;
cort;0;rel-uniq;
purpure;0;;
raus;0;;
corona;0;rel-uniq;
espines;0;ind;
cab;0;?;
genolz;0;;
fellon;0;ind;
senior;0;;
emperador;0;rel-uniq;
vestiment;0;;
Femnes;0;ind;
pius;0;;
fillies;0;;
filz;0;;
obs;0;;
porta;0;;
ciptat;0;ind;
chamisae;0;ind;
custurae;0;?;
sort;0;;
signa;0;;
fet;0;;
vertet;0;;
regnaz;0;;
caritad;0;abs;
feluns;0;ind;
fel;0;abs;
vin;0;;
laz;0;;
lasruns;0;;
escarn;0;abs;
cridaizun;0;?;
ladruns;0;;
rei;0;;
altre;0;pron;
tort;0;;
dreit;0;ind;
colpas;0;abs;
ahanz;0;abs;
olz;0;;
ren;0;;
bons;0;mass;
rex;0;;
don;0;?;
vide;0;;
ladrun;0;;
noit;0;;
mercit;0;;
pecaz;0;;
pietad;0;;
meidi;0;;
noiz;0;;
solelz;0;;
luna;0;;
nona;0;;
criz;0;ind;
Uns;0;;
azit;0;?;
anma;0;rel-uniq;
roches;0;;
munt;0;;
sepulcra;0;;
corps;0;rel-uniq;
sanz;0;;
templum;0;;
cortine;0;ind;
mei;0;;
croz;0;ind;
dols;0;abs;
cor;0;rel-uniq;
chamsils;0;rel-uniq;
unguement;0;;
mirra;0;;
liuras;0;;
honor;0;;
pimenc;0;;
temps;0;;
virgo;0;;
peched;0;;
felluns;0;ind;
gardes;0;;
errors;0;ind;
pece;0;;
vassalz;0;;
charns;0;mass;
mort;0;;
omne;0;;
vertud;0;;
enffant;0;ind;
petitet;0;;
gran;0;;
anz;0;ind;
lei;0;;
Argent;0;mass;
aur;0;mass;
sang;0;;
enfern;0;uniq;
mattin;0;;
soleilz;0;;
unguemenz;0;;
angeles;0;ind;
monument;0;;
regard;0;;
