accide;abs;lassitude;;
accidens;ind;;;
accident;ind;;;
accoinctance;abs;;;
accointance;abs;;;
accointances;abs;;;
accolement;event;;;
accollemens;event;embrassement;;
accollemens;event;;;
accomplissemens;event;;;
accomplissement;event;;;
accord;event;;;
accordement;event;;;
accordz;event;;;
accors;event;;;
accort;event;;;
accoustumance;event;;;
accroissement;event;;;
accuseires;ind;;;
accusement;event;;;
accuseres;ind;;;
accuseurs;ind;;;
accusor;ind;;;
accusors;ind;;;
acenssion;event;;;
acer;mass;;;
acerez;?;;;
acers;mass;;;
achainte;rel-uniq;enceinte, espace clos joint à un bâtiment;;
achaintriere;?;;;
achaison;ind;circonstance, occasion;;
achaisons;ind;;;
achaisun;ind;;;
achaisunement;?;;;
achaisuns;ind;;;
achant;ind;;;
achaptz;ind;achats;;
achas;ind;;;
achat;ind;;;
Achate;ind;;;
achate;ind;;;
Achaté;ind;;;
Achates;ind;;;
acheison;ind;;;
acheisons;ind;;;
acheisun;ind;;;
ácheisun;ind;;;
acheisuns;ind;;;
Acheisuns;ind;;;
acheminee;?;;;
acheson;ind;;;
acheteurs;ind;;;
achevement;event;;;
Achiemenciens;ind;;;
achier;mass;;;
achoison;ind;;;
achoisons;ind;;;
acient;rel-uniq;enceinte, espace clos joint à un bâtiment;;
acier;mass;;;
aciers;mass;;;
acoilleit;?;;;
acointance;abs;;;
acointe;abs;;;
acointes;abs;;;
acoison;ind;occasion, circonstance;;
acoleïz;?;;;
acolemens;event;;;
acoler;?;;;
acolers;?;;;
acomblement;abs;;;
acomblemenz;abs;;;
acomplissement;event;;;
aconita;?;;;
aconplisemant;event;;;
acontance;abs;;;
acor;event;;;
acord;event;;;
acordance;event;;;
acorde;event;;;
acordemant;event;;;
acordement;event;;;
acorder;event;;;
acors;event;;;
acort;event;;;
acosstumance;ind;;;
acoster;event;;;
acostumance;ind;;;
acostumances;ind;;;
acouchemens;event;;;
acoustremens;ind;;;
acoustrement;ind;;;
acoustrements;ind;;;
acoustumance;ind;;;
acquest;event;;;
acquict;event;;;
acquintances;event;;;
acquintises;event;;;
acquit;ind;;;
acreis;event;;;
Acreissement;event;;;
acrilege;abs;???;;
acrileges;abs;;;
actaintes;event;;;
actente;event;;;
acteres;ind;;;
actes;ind;;;
acteur;ind;;;
actidans;abs;accident, propriété accidentelle;;
actidant;abs;;;
action;event;;;
actions;event;;;
actoriteit;abs;;;
actour;ind;;;
actours;ind;;;
acubes;rel-uniq;;;
acueil;abs;;;
acuilleit;ind;;;
acuintement;abs;;;
acumengier;?;;;
acumungement;?;;;
acumunjement;?;;;
acunte;ind;;;
acuntes;ind;;;
acurede;?;;;
acusemenz;event;;;
acusor;ind;;;
adaisement;event;;;
adamant;ind;diamant;;
Adamas;?;;;
adamas;?;;;
adduciens;?;;;
adevineur;ind;;;
adevineurs;ind;;;
Adieu;na;pas à considérer comme un subst;;
