noun;cardinality;type;textfile;id
corropt;0;ind;#0980-leger-v.psd#;
amix;0;ind;#0980-leger-v.psd#;
fied;0;;#0980-leger-v.psd#;
Rex;0;;#0980-leger-v.psd#;
regnet;0;;#0980-leger-v.psd#;
parent;0;;#0980-leger-v.psd#;
amic;0;ind;#0980-leger-v.psd#;
honors;0;;#0980-leger-v.psd#;
evesquet;0;ind;#0980-leger-v.psd#;
anatemaz;0;?;#0980-leger-v.psd#;
Domine;0;ind;#0980-leger-v.psd#;
miels;0;;#0980-leger-v.psd#;
fulc;0;;#0980-leger-v.psd#;
adunat;0;?;#0980-leger-v.psd#;
regne;0;;#0980-leger-v.psd#;
foc;0;;#0980-leger-v.psd#;
flamma;0;;#0980-leger-v.psd#;
gladies;0;;#0980-leger-v.psd#;
medre;0;;#0980-leger-v.psd#;
exercite;0;ind;#0980-leger-v.psd#;
ciu;0;ind;#0980-leger-v.psd#;
ciutat;0;ind;#0980-leger-v.psd#;
clerjes;0;mass;#0980-leger-v.psd#;
croix;0;ind;#0980-leger-v.psd#;
miel;0;;#0980-leger-v.psd#;
poenas;0;;#0980-leger-v.psd#;
tiranz;0;;#0980-leger-v.psd#;
perfides;0;;#0980-leger-v.psd#;
cap;0;rel-uniq;#0980-leger-v.psd#;
reclus;0;;#0980-leger-v.psd#;
lavvras;0;;#0980-leger-v.psd#;
lingua;0;;#0980-leger-v.psd#;
terra;0;;#0980-leger-v.psd#;
pensez;0;;#0980-leger-v.psd#;
ols;0;;#0980-leger-v.psd#;
torment;0;;#0980-leger-v.psd#;
consolament;0;abs;#0980-leger-v.psd#;
num;0;;#0980-leger-v.psd#;
cartres;0;?;#0980-leger-v.psd#;
monstier;0;;#0980-leger-v.psd#;
servv;0;;#0980-leger-v.psd#;
labia;0;;#0980-leger-v.psd#;
merci;0;;#0980-leger-v.psd#;
poble;0;;#0980-leger-v.psd#;
raizons;0;;#0980-leger-v.psd#;
cor;0;rel-uniq;#0980-leger-v.psd#;
tirant;0;;#0980-leger-v.psd#;
peis;0;;#0980-leger-v.psd#;
furor;0;;#0980-leger-v.psd#;
gran;0;;#0980-leger-v.psd#;
flaiel;0;;#0980-leger-v.psd#;
noit;0;;#0980-leger-v.psd#;
di;0;uniq;#0980-leger-v.psd#;
meil;0;;#0980-leger-v.psd#;
om;0;;#0980-leger-v.psd#;
dom;0;ind;#0980-leger-v.psd#;
amet;0;ind;#0980-leger-v.psd#;
beuure;0;mass;#0980-leger-v.psd#;
claritet;0;abs;#0980-leger-v.psd#;
roors;0;;#0980-leger-v.psd#;
flammes;0;;#0980-leger-v.psd#;
altres;0;pron;#0980-leger-v.psd#;
omne;0;;#0980-leger-v.psd#;
causa;0;ind;#0980-leger-v.psd#;
signes;0;;#0980-leger-v.psd#;
pais;0;;#0980-leger-v.psd#;
domine;0;ind;#0980-leger-v.psd#;
fruit;0;;#0980-leger-v.psd#;
biens;0;mass;#0980-leger-v.psd#;
omnes;0;;#0980-leger-v.psd#;
pechietz;0;;#0980-leger-v.psd#;
quarz;0;;#0980-leger-v.psd#;
fel;0;abs;#0980-leger-v.psd#;
nom;0;;#0980-leger-v.psd#;
ispieth;0;;#0980-leger-v.psd#;
queu;0;;#0980-leger-v.psd#;
piez;0;;#0980-leger-v.psd#;
dis;0;event;#0980-leger-v.psd#;
pez;0;;#0980-leger-v.psd#;
corps;0;rel-uniq;#0980-leger-v.psd#;
flaiels;0;;#0980-leger-v.psd#;
anima;0;rel-uniq;#0980-leger-v.psd#;
sanz;0;;#0980-leger-v.psd#;
senior;0;;#0980-leger-v.psd#;
passions;0;;#0980-leger-v.psd#;
gent;466;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,98.23
dis;424;event;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,97.21
di;400;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,99.38
afanz;398;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.74
anz;373;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,96.6
ped;350;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,101.63
gran;339;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,99.30
an;327;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,99.38
ben;326;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,105.114
Judeu;326;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,106.120
carn;321;mass;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,96.6
fog;316;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,107.134
mal;312;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,105.114
honor;308;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,98.23
mund;300;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,95.4
fidels;288;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,104.89
jorn;281;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,108.147
mot;281;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,108.152
rex;274;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,97.20
templum;259;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,100.48
mel;247;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,108.146
olz;245;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,99.33
cor;245;rel-uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.66
man;231;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,110.180
dols;223;abs;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,103.83
pietad;209;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.70
mans;202;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,109.173
terra;199;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,103.87
rei;192;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,98.25
vin;187;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.66
cruz;185;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,114.232
laz;173;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,105.111
part;168;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,116.255
don;165;?;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,104.98
mercet;162;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,117.266
mund;153;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,114.227
temps;144;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,108.149
felun;143;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,104.95
fel;142;abs;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,104.99
amic;137;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,102.71
ver;135;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,115.247
pechet;134;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,118.282
femnes;130;ind;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,110.192
di;129;uniq;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,101.62
spiritus;128;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,114.234
vestimenz;123;;1000-passion-bfm-p.psd;1000-PASSION-BFM-P,111.201
